etype,issuenote
1,"The youth group Fed Up protests against a proposed change to the constitution that would allow the presidents' son to take power as vice president.  The next day, riots erupt across the country.  The violence prompts the president to cancel the amendment."
1,The government organizes a massive rally in favor of the president.
1,"Citizens demonstrated to call for departure of president and to protest ahead of court decision regarding his candidacy, ruling party HQ burned and national highway blocked in other cities. Police used tear gas and beat protesters with batons, citizens threw rocks and set fires. Policeman stoned to death, journalist assaulted by police."
1,"Citizens demonstrated to call for departure of president and to protest ahead of court decision regarding his candidacy, ruling party HQ burned and national highway blocked in other cities. Police used tear gas and beat protesters with batons, citizens threw rocks and set fires. Policeman stoned to death, journalist assaulted by police."
1,"Citizens demonstrated to call for departure of president and to protest ahead of court decision regarding his candidacy, ruling party HQ burned and national highway blocked in other cities. Police used tear gas and beat protesters with batons, citizens threw rocks and set fires. Policeman stoned to death, journalist assaulted by police."
1,"Citizens demonstrated against court ruling allowing President Wade to run for third term against constitutional term limit, youths lobbed rocks at police and burnt tires. Police used tear gas and water hoses to disperse crowd, anti-riot truck driven into crowd.  Student killed in incident."
1,Opposition supporters gathered to pray for those killed during protests and to call for removal of president from office.
1,Demonstrators gathered to protest the third term candidacy of President Wade.
1,Attempt by movement to begin a permanent sit-in to protest president's candidacy for 3rd term was blocked by police as it started.
1,"Demonstrators protesting president's candidacy for 3rd term marched against government ban to within blocks of presidential palace, police fired tear gas and rubber bullets to disperse crowd."
1,"Demonstrations began with sleep-in to protest candidacy of president, event later escalated as citizens seized 3 blocks and battled police who fired tear gas (including into mosque) and water cannons, chased down protesters, and made arrests . Youths set tires ablaze and threw rocks at police. Dieye briefly detained by authorities. Music icon and activist Youssou Ndour injured."
7,Police fired tear gas on crowds gathering outside polling station where president was expected to vote.
1,"About 30 youths, women, and elderly Mauritanian refugees went on hunger strike to demand relocation to a 3rd country due to food and employment issues."
7,Police repressed a citizen
1,University Students set fire to themselves in protest against the decision on the part of the university to cancel credits offered in the geography department
1,democracy supporters held several demonstrations and protests throughout 1990 against Kerekou's dictatorship
7,Kerekou government supporters attacked opposition supporters during the presidential campaign
7,Kerekou supporters interferring with presidential elections with violence and intimidation
7,gunmen fire into the homes of the constitutional court in response to the early decision that Kerekou had won the presidential election.  The court is due to announce its decision.
1,students from Niger hold 6 embassy officials hosstage while on hunger strike demanding payment of bursaries
1,student demonstrations over governments response to teacher strikes
1,protest against the refusal of the interior ministry to recognize decisions made under the PRB congress in January
1,protest again the Iraq war
1,opposition party protests presidential election irregularities
1,"Nearly 30,000 protesters gather in the economic capital to demand the holding of elections."
1,Tens of thousands of opposition and pro-government protesters hold separate protest marches in Cotonou.
1,Tens of thousands of opposition and pro-government protesters hold separate protest marches in Cotonou.
7,Arab dominated govt represses Soninke black Africans.
7,Opposition party supporters gather in party headquarters.  Police surround the building and open fire.
1,"Opposition party organizes protest against slavery, and against detention of human rights activists that contributed to a French documentary on slavery."
7,Police arrest opposition leader (Ahmed Ould Daddah).
7,"Police arrest opposition leader (Ahmed Ould Daddah).  On 4/26, the Union of Democratic Forces stages protest of arrest.  Police arrest 2."
1,UDP-NE protests govt recognition of Israel.  Govt. reacts by banning the party.
1,Protest against US plans for war in Iraq.
1,"Rally against war plans in Iraq, opposition leaders call for cutting ties to US and Britain."
7,"Government arrests leaders of pro-Iraqi/pan-Arabist party.  Several days later, govt arrests leader of Rally of Democratic Forces party."
7,Police arrest the leading opposition candidate twice in four days during election period.  He is accused of plotting a coup.
7,"Authorities arrest five Islamic leaders, three accused of distributing fake photos of tortured prisoners to the media."
1,Students rally to protest upcoming visit by Israeli foreign minister.
7,"Govt. arrests (on 6/19) several officials from the old regime, overthrown in 8/2005."
7,Government arrests prime minister of recently ousted president as attempts to attend a demonstration in his home village.  He is place under house arrest.  No further information on the demonstration is given.
1,Govt. issues a ban on protests.  Opposition parties defy by calling a protest on 10/5.  Police break up protest by beating protesters with clubs and tear gas.
1,Police clash with protesters organized by four labor unions.  Violence erupts when riot police attack demonstation with tear gas.  Demonstrators repond by throwing stones at police.
1,Protest organized against junta govt.  Police break up the demonstration.
1,An opposition group protests against the leaders of the junta and their plans to hold an election in June.
1,Opposition groups stage a sit-in outside the state television station to demand that the junta open up the airwaves.
1,Several thousand protesters take to the streets to demonstrate against the junta's plan for elections in June.
1,A journalist's association protests for the release of a detained reporter.
1,Mauritanian workers hold May Day rallies to demand better working conditions and higher salaries.
1,Members of We are all Ely Ould Moktar held a sit-in protest in Nouakchott to demand the government secure the release of paramilitary officer Ely Ould Moktar from Al Qaeda in the Islamic Maghreb.
1,Hundreds of members of the Islamic party Tewassoul demonstrated outside the Syrian embassy in Nouakchott in response to Syrian President Bashar al-Assad's repressive treatment of protesters. The Tewassoul supporters demanded expulsion of Syrian diplomats.
1,"The Coordination of a Democratic Oppostion, a coalition of opposition parties, held a lengthy series of weekly protests in Nouakchott demanding the resignation of President Mohamed Ould Abdel Aziz. Police arrested, beat, and tear gassed protesters on several occaisions. Some youth demonstrators resorted to throwing rocks and burning tires. Attendance ranged between hundreds and thousands."
1,The Coordination of a Democratic Oppostion held a protest in Nouakchott to demand President Mohamed Ould Abdel Aziz step down in light of his health issues and alleged incompetance.
1,Thousands of supporters of President Mohamed Ould Abdel Aziz gathered in Nouakchott to welcome their leader back after he underwent medical treatment in France for forty days.
1,The Don't Touch My Nationality movement held a protest in support of black Mauritanians' rights and were subjected to teargas by police. One activist was also arrested and two injured.
1,Opposition protesters marched in boycott of the new election. The police broke up the protest violently
1,Islamic prisoners are demanding some movement on their cases as they are held indefinitely
7,Govt. admits that 63 Tuaregs were killed in clash with security forces.
7,Govt. kills 6 people in three vehicles that fail to stop in two separate incidents.
7,Govt. kills 6 people in three vehicles that fail to stop in two separate incidents.
1,5000 people protest election delays.
1,"MNSD stages protest over arbitariness of govt. appointments.  Five people are wounded in clash with police, 10 are arrested."
1,8000 people protest in front of the parliament building to protest the banning of a woman's march (itself planned in response to the govt. closing of Niamey University).
1,"3 opposition parties call protest for the day of the president's first anniversary in power.  The militants barricade streets with burning tires and clash with police.  1 killed, 20 injured."
1,"At a pro-Tuareg rally in Agades, two Niger soldiers throw grenades into the crowd, killing 6."
1,Accused mastermind of 1993 hijacking stages 2 week hunger strike.  Govt. eventually promises to deal with his case quickly.
1,About 100 protesters demonstrate against imprisonment of accused mastermind of 1993 hijacking. (see line 12).
1,3000 people demonstrate in front of the state media building at the bidding of a union that recruits from govt. workers.
1,Thousands of people surge into the streets to support their parties in advance of an election.
1,Thousands of workers take to the streets to protest lack of pay and govt's careless attitude.
1,"4000 people organized by human rights groups, unions, parties, and parents associations protest and call for a rescue plan for the cash strapped schools and university."
7,"Five men caught attacking a military outpost.  A day later, the Niger military kills them.  15 others are captured."
1,Thousands of anti-govt protesters demonstrate.  Police use tear gas.
1,2000 people protest arrest of 3 opposition leaders.
1,protesters organized by opposition parties.  Police use tear gas.
3,"Demonstrators demand ouster of President Ibrahim Bare Mainassara, clash with police in running street battles.  Several are injured."
1,Opposition rally organized by opposition parties.
1,More than 1000 people demonstrate against exclusion of political opponents from public sector jobs.
1,Several thousand supporters of Prime Minister's party protest against censure motion against the PM passed by the parliament.
1,Protest of new Value Added Tax.  The protest turns violent.  47 organizers arrested.
1,protesters decry high cost of living.
7,Govt. begins expelling nomadic Mahamic Arabs from the remote Diffa region.  About 150 Arabs protest on the 28th.  Unknown number of Peulh and Toubou protest that same day against the Arabs.
1,Protest showing support for govt. during time of Tuareg rebellion.
1,protesters demonstrate against effort to extend the president's term.
1,Protests are organized against Israeli military action in Gaza.
1,Several thousand people organized by three unspecified human rights groups protest to demand that members of parliament repay large salary bonuses to the national treasury.
1,An opposition party organizes a protest against the president's attempt to amend the consitution to allow him to run for as many terms in office as he chooses.
1,"Tens of thousands of people organized by a front consisting of political parties, unions, and rights groups demonstrate against the president's plans for a third term."
1,The FDD organizes a protest against the president's plan to run for a third term.
1,Tens of thousands of protesters take to the streets to call for the president to step down.
7,Niger military forces arrest and kill a number of militants in a raid on the town of Diffa.
3,Hundreds of university students riot and clash with police in response to delays in payment of their grants.
1,Thousands of opposition members protest the arrest of opposition figures.
1,"Citizens gather to protest army raid, alleging deaths and multiple rapes of female students"
1,"Citizens march, calling for the government's resignation, citing incompetence"
7,Police are ordered to beat opposition leader in retaliation for the publication of an insulting article
1,Citizens protest beating of opposition leader
1,"Citizens march, demanding political reforms and changes in government"
1,Citizens protest polling laws for presidential elections
1,Women protest incumbent party's improper media use
1,Youth march to protest election laws
1,"Students protest and boycott classes, demanding higher grants and reallocation of dormitories"
1,Opposition supporters march against president
1,Opposition supporters march against incumbent party and clash with police
7,Soldiers riot and attack civilians
7,Soldiers severely beat journalist that questioned presidential eligibility of junta leader
3,"Students supporting opposing parties clash on multiple university campuses, killing one"
1,Senior member of opposition party goes on hunger strike to protest government's refusal to let her leave the country
1,"Rally of Republicans supporters boycott elections, protesting exclusion of their candidate"
3,"Rival factions of the student union FESCI clash, killing 5."
3,Rival factions of the student union FESCI attack each other with machetes
1,"Police protest and strike, demanding higher wages"
1,Ivorian housewives protest high cost of food and other essentials
1,Former Air Afrique employees go on hunger strike to protest unpaid wages
1,Youths march in support of President and denounce rebels
1,Group marches to demand that former rebels be disarmed
3,Youths vandalize rail link to protest plan of linking with Burkina Faso
1,Youths gather to show support for President
7,Government forces attack rebels in northern Cote d'Ivoire
7,Forest guards torture and kill seven citizens illegally occupying forest
1,Citizens protest a pro-government line taken by state television prior to elections.
7,Police forcibly clear an anti-French area of the capital ahead of an African Development Bank summit.
7,Police kill four people at an office of the opposition.
7,Soldiers and police attack opposition supporters.
7,Security forces raid the headquarters of a party allied with Ouattara.
7,"Security forces cordon off a large section of a neighborhood and kill supporters of opposition candidate Ouattara.  Protesters march in retaliation, and attack police with rockets."
7,"Security forces open fire in a pro-Ouattara neighborhood, killing 1."
7,"Troops enter opposition neighborhoods, throwing grenades, firing guns, and attacking the population with rockets.  The fighting escalates into an outright battle between the two factions."
7,"Fierce fighting erupts across the country between forces loyal to incumbent president Gbagbo and his challenger, Ouattara."
7,"Youth gangs, aided by police, ransack the homes of pro-Outtara officials."
7,Ouattara's military forces open fire on refugees the day after his inauguration.
7,"During July, 26 people are killed by forces loyal to Ouattara.  Most the dead were targeted for their ethnicity and their support for Gbagbo."
1,Demonstration by Gbagbo's IPF attacked by Ouattara supporters. Police and UN troops involved in quelling the ensuing riot.
7,Attacks on transgendered prostitutes by military members.
7,"Raid by Ouattara supporters against FPI headquarters. No deaths, several injured, property damaged."
7,Raid by Ouattara supporters against FPI headquarters coordinated with arson attack against opposition newspaper.
7,Street peddlers attack police officers after officers attempt to disperse them using tear gas.
1,"Hundreds of supporters of former president Gbagbo protested to demand his release from ICC custody, and police fired tear gas and arrested 16"
7,Soldiers completely razed the town of Baleko-Niegre to preserve Ivory Coast's woodland from illegal exploitation by people after the people leaving there were forced to evacuate
1,About 300 people protested over a delay on whether former President Gbagbo will be put on trial at the ICC
3,15 violent attacks by armed gangs over the course of several months leaves 4 dead and more than 20 wounded.
1,Ivorian soldiers protest nationwide over failure to receive promised bonuses. Several hundred storm a TV station but do not ransack it.
1,Ivorian soldiers protest nationwide over failure to receive promised bonuses. Several hundred storm a TV station but do not ransack it.
1,Ivorian soldiers protest nationwide over failure to receive promised bonuses. Several hundred storm a TV station but do not ransack it.
1,Ivorian soldiers protest nationwide over failure to receive promised bonuses. Several hundred storm a TV station but do not ransack it.
1,Ivorian soldiers protest nationwide over failure to receive promised bonuses. Several hundred storm a TV station but do not ransack it.
1,Ivorian soldiers protest nationwide over failure to receive promised bonuses. Several hundred storm a TV station but do not ransack it.
1,Demonstrators gather outside the Prime Minister's house to protest the ban on plastic bags which are commonly used for water.
1,Citizens protest demanding independent election commission
1,Citizens protest demanding transitional government
7,"Citizens refuse orders to evacuate their homes.  Police raid neighborhood, killing seven."
3,"Opposing political supporters riot as elections draw near, killing four."
1,protesters violently broken up by security forces during peaceful march
1,Guinean-Lebanese citizens protest Israeli offensive on Lebanon
1,Miner's wives clash with police while protesting decreased benefits
7,"Ghana ambassador is kidnapped, beaten and robbed by soldiers"
1,"Group stages anti-junta rally, and police fire tear gas"
1,Group stages anti-junta rally
7,Soldiers attack youths the day after protest massacre
7,Soldiers kidnap influential banker and force him to turn over his fortune
1,An opposition political party stages protests.  Police open fire.
1,An opposition march is violently dispersed by paramilitary police.
1,"Opposition leaders organized a rally to call for cleam elections.  Police broke up the demonstration with tear gas, arresting dozens."
1,"Thousands of opposition protesters gathered to demonstrate against the delay in legislative polls.  Police fired tear gas and beat several protesters, leaving at least 41 injured."
1,"Over 200 data entry operators gathered outside the electoral commission building to demand payment of unpaid salaries, amounting to about 400 euros per person.  Police fired tear gas and used truncheons to break up the crowd"
1,"In an authorized protest, opposition leaders lead thousands of people in a demonstration to demand free and fair elections.  Protesters also demonstrated against Waymark, the company brought in by the government to redo election lists.  Police fired tear gas to disperse the crowd, but no injuries were reported."
1,"Thousands of protesters, organized by the opposition, demonstrated to call for free and fair legislative elections and to denounce President Alpha Conde"
7,Soldiers opened fire at point-blank range and killed a young boy and wounded 12 others
7,Two or three people were gunned down by soldiers on motorbikes
1,"Youths set up barricades of burning tires to block roads and as traffic ground to a halt, security forces were deployed to dismantle the barricades and fighting broke out"
3,A radio station was ransacked by pro-government demonstrators for reporting on protests against President Alpha Conde
3,Hundreds of teenage activists from the Union of Democratic Forces protested and pelted police with rocks and a trainee policemen was shot dead and two were injured
7,"A police patrol arrested a well-known local footballer named Balla Conde, beat him and left him to die in the street"
1,"At least 12 people were injured here Monday as supporters of Burkina Faso President Blaise Compaore attacked opposition demonstrators calling for a national political conference, witnesses and hospital sources said."
1,"He was speaking at a mass meeting of about 10,000 people in Ouagadougou called by the CFD and held on the vast esplanade of Revolution Square in the centre of the capital."
7,"A Burkinabe opposition leader was assassinated on Tuesday and another seriously hurt, a week after helping organize a massive boycott of presidential elections in which incumbent Blaise Compaore was sole candidate."
1,"Police fired tear gas Sunday morning into the courtyard of this city's Roman Catholic cathedral, scattering protesters who were demanding the government investigate the death of a prominent journalist."
1,Students wielding stones and slingshots responded to a general strike order Monday by erecting barricades and bringing traffic in Burkina Faso's capital to a standstill.
7,"His Majesty the Naaba Tigre, a powerful tribal chief of the west African state of Burkina Faso, has unleashed public protest in his home town after ordering one of his subjects to be beaten to death for bad-mouthing him."
1,"Some 5,000 students and school pupils demonstrated Tuesday against the closure of Burkina Faso's university in Ouagadougou."
1,"Some 5,000 students and school pupils demonstrated Tuesday against the closure of Burkina Faso's university in Ouagadougou."
1,Police backed by armed militiamen clashed Wednesday with demonstrators commemorating the second anniversary of the unsolved killing of a journalist in this West African country.
1,"Asking for forgiveness before a 30,000-strong stadium crowd, Burkina Faso's 13-year leader delivered an unprecedented apology for torture and all other crimes committed by his West African nation."
1,Around 50 women dressed in black prayed at the grave of a murdered journalist on Sunday to protest the scrapping of a case against a security official who is the sole suspect accused in the killing.
1,Peasant farmers in the West African state of Burkina Faso launched a protest campaign on Thursday against the economic partnership agreements the European Union is negotiating with 75 of the world's poorest countries.
1,Hundreds of sub-Saharan Africans rallied Monday in Burkina Faso against the abuse of women infected with HIV/AIDS.
1,Several unions in Burkina Faso called for a general strike next month as tens of thousands staged protest marches Saturday against the high cost of living in the west African country.
1,Tens of thousands march against the president and the high cost of living.
1,"3,000 demonstrators marched on Ouagadougou, while others staged protests in other urban areas against recent price hikes."
1,"3,000 demonstrators marched on Ouagadougou, while others staged protests in other urban areas against recent price hikes."
1,"Thousands of demonstrators protested against the creation of a senate, which they say will extend the rule of President Blaise Compaore and police fired tear gas"
1,"Thousands of demonstrators protested against the creation of a senate, which they say will extend the rule of President Blaise Compaore and police fired tear gas"
1,Thousands of followers of opposition leader Zephirin Diabre protested around the country against rising costs for basic goods like rice and sugar
1,Thousands of protesters marched decrying a perceived attempt by the president to extend his hold on power through the creation of a new Senate
1,Thousands of protesters marched decrying a perceived attempt by the president to extend his hold on power through the creation of a new Senate
1,"More than 10,000 gather to protest plans to change the constitution to allow the president to run for another term."
1,"Around 35,000 gather in a stadium to protest the president's plans to run for another term."
1,"Close to 100,000 opposition protesters march against president Compaore's plans to run for another term."
1,The newly appointed culture ministry draws a small protest for his role as a prosecutor in a contentious murder case years before.
1,Around 300 people place brooms on the grave of former Burkina Faso leader Thomas Sankara in a symbolic act calling for an investigation to be reopened into his murder.
1,Christians march demanding peace.
1,Civilians protest and riot over food prices and the civil war.
7,Clashes between government troops and ULIMO began when police attempt to arrest Johnson on murder charges.
7,"Liberian secret police attempt to arrest Johnson in his home, then attack the US Embassy when Johnson enters the embassy.  Soldiers began looting after the conflict at the embassy began."
1,Residents of Voinjama protest in Monrovia to demand better government protection to prevent rebel groups based in Guinea from attacking them.
3,Former civil war fighters riot to demand better living conditions.
3,Members of the Manos tribe attack Mandingos accusing them of conspiring with Guinea insurgents.
1,School children march in protest of economic sanction proposed by the international community.
1,"Youths stage a hunger strike demanding dialogue between Liberia, Sierra Leone and Guinea to end the current conflict."
1,Women demonstrate to demand government and rebel forces lay down their arms.
1,"Women march to demand peace throughout the country, not just in Monrovia where peacekeepers have focused."
1,Women march to demand disarmament.
1,"Women march in protest to ritualistic killings, demanding police take action."
1,Former civil war fighters demonstrate to ask forgiveness for the violence they caused.
3,Demonstrators clash with police over a disputed presidential election.
1,Thousands of supporters of the Congress for Democratic Change gathered in Monrovia to protest the violent suppression of a CDC rally a year earlier. The previous protest had been related to election issues.
1,Civilian employees of the United Nations Mission clashed with peacekeepers in a protest over what they claim are unfavorable work conditions and several were manhandled by peacekeepers
7,Government forces battle with the National Patriotic Front of Liberia rebels.
1,Civilians peacefully protest demanding an end to the ongoing civil war.
1,Youths march from Freetown to Hastings demanding peace and to demonstrate to the rebels that they are tired of fighting.
1,Youths march from Freetown to Hastings demanding peace and to demonstrate to the rebels that they are tired of fighting.
7,Clashes between the army and the Kamajor militia began when the militia accused soldiers of stealing from civilians.
1,Students protest against the military coup
1,"Civilians attend a rally to show support for Koroma, the presidential candidate for the All People's Congress."
1,Civilians rally in support of the the central government and in celebration of peace ahead of elections.  Sporadic violence broke out between President Kabbah supporters and former rebels.
3,Rebels attack a military supply depot to obtain weapons.
3,Clashes between opposition supporters and the government party during election campaign.
3,Clashes between opposition supporters and the government party during election campaign.
3,Clashes between opposition supporters and the government party during election campaign.
1,Artists rally for non-violence during election campaign.
3,Clashes between ruling party and opposition party suporters prior to run-off presidential election.
3,Clashes between ruling party and opposition party suporters prior to run-off presidential election.
3,Clashes between ruling party and opposition party suporters prior to run-off presidential election.
1,Ruling party held a peace rally demanding noon-violence during the presidential run-off election.
3,Opposition party supporters torch the homes of ruling party activists in post-election violence.
3,Opposition party members storm government party headquarters after comments made on a radio station.
3,"Supporters of the ruling APC attack a mayor of the SLPP.  This triggers a riot between the two factions, which police disrupt with tear gas.  Tensions are ascribed to a local election in Gendema."
3,"Supporters of the ruling APC attack a mayor of the SLPP.  This triggers a riot between the two factions, which police disrupt with tear gas.  Tensions are ascribed to a local election in Gendema."
7,"Police fire tear gas at a large crowd gathering petrol from a leaking pipeline.  The tear gas cannisters trigger a large explosion, killing many people."
1,"protesters staged an anti-government demonstration in Tamale, some 400 miles (640 kms) north of here, demanding the resignation of the government, according to press reports here Monday."
1,"protesters staged an anti-government demonstration in Tamale, some 400 miles (640 kms) north of here, demanding the resignation of the government, according to press reports here Monday."
1,"protesters staged an anti-government demonstration in Tamale, some 400 miles (640 kms) north of here, demanding the resignation of the government, according to press reports here Monday."
1,"Anti-government protesters demanding a transitional government to lead Ghana to democratic rule held a demonstration here on Friday, the second in a week."
1,Hundreds of students from Ghana's three main universities marched through the streets of the capital Wednesday to demand the government and professors resolve a pay dispute that has delayed the start of classes.
1,Hundreds of students from Ghana's three main universities marched through the streets of the capital Wednesday to demand the government and professors resolve a pay dispute that has delayed the start of classes.
1,Hundreds of students from Ghana's three main universities marched through the streets of the capital Wednesday to demand the government and professors resolve a pay dispute that has delayed the start of classes.
1,Demonstrations occurred after an unlicensed radio station was taken off the air.
3,"Eight people have been arrested in Ghana's second city Kumasi following religious violence between Muslims and Christians last week, a senior police source said Tuesday."
1,"Civil servants in Ghana are considering industrial action in support of a 96 percent wage increase claim following a spontaneous demonstration in Accra, union officials here said Thursday."
1,Deputies loyal to President Jerry Rawlings' deputy announced plans Sunday to withdrew from Ghana's ruling coalition in a move likely to bolster opposition criticism of the president's economic strategy. Protest of VAT tax increases.
1,"Shooting broke out at a huge anti-government demonstration in the Ghanaian capital Thursday, and at least two were reported dead and 17 wounded."
1,Commercial activities in Ghana's second largest city were paralyzed Thursday following a massive demonstration against the high cost of living in the West African nation.
1,Three public-sector unions in Ghana Tuesday called off planned demonstrations after a pledge from Finance Minister Kwesi Botchwey to see that a 20 percent pay rise they are claiming is implemented.
1,"Some 4,000 university students staged a five-hour demonstration here Wednesday to protest at a dispute which has paralysed higher education in Ghana for four months."
3,A 13-year-old boy was killed in a rampage by youths in central Ghana who were protesting the elevation of four chiefs in a centuries-old dispute.
7,"A riot broke out last week in Akwatia, 80 kilometers (50 miles) northwest of Accra, after one of 30 policemen investigating illegal mining by foreigners fired his pistol into an angry crowd, killing one resident."
3,"An elderly man was shot dead and two people were wounded in northern Ghana at the weekend when police opened fire as Moslem hardliners attempted to spring 14 people from detention, a police source said here Monday."
3,"Four people died and 24 were seriously wounded when clashes broke out over the weekend between two rival Muslim groups fighting over rights to a cemetery, police said."
3,"Ghana's government offered restive students more than a million dollars on Monday to help to pay for higher tuition fees, following violent protests last week against the hikes."
1,Some 300 students at the University of Ghana in Accra demonstrated on campus and boycotted lectures Thursday over hikes in tuition fees. On 9/15. the university is shut down.
